id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,popularite
pop1-1,Blaziken,Rare,POP Series 1,POP,6.8,,2004/09/01,[257],Katsura Tabata,#29
pop7-3,Latias,Rare,POP Series 7,POP,8.7,,2008/03/01,[380],Daisuke Ito,#99
hgss1-4,Gyarados,Rare Holo,HeartGold & SoulSilver,HeartGold & SoulSilver,10.62,17.98,2010/02/10,[130],Mitsuhiro Arita,Non référencé
xy1-2,M Venusaur-EX,Rare Holo EX,XY,XY,8.03,,2014/02/05,[3],5ban Graphics,#183
ex8-2,Beautifly,Rare Holo,Deoxys,EX,10.98,12.76,2005/02/01,[267],Kagemaru Himeno,Non référencé
col1-3,Dialga,Rare Holo,Call of Legends,HeartGold & SoulSilver,11.12,10.99,2011/02/09,[483],Ayaka Yoshida,#125
base6-2,Articuno,Rare Holo,Legendary Collection,Other,39.81,195.0,2002/05/24,[144],Mitsuhiro Arita,#184
base4-4,Charizard,Rare Holo,Base Set 2,Base,258.79,,2000/02/24,[6],Mitsuhiro Arita,#4
ex7-4,Dark Electrode,Rare Holo,Team Rocket Returns,EX,23.94,38.92,2004/11/01,[101],Kouki Saitou,Non référencé
ex11-5,Flareon δ,Rare Holo,Delta Species,EX,56.3,99.98,2005/10/31,[136],Kouki Saitou,Non référencé
ex10-2,Ariados,Rare Holo,Unseen Forces,EX,7.45,12.24,2005/08/01,[168],Mitsuhiro Arita,Non référencé
pl1-5,Dialga,Rare Holo,Platinum,Platinum,8.16,2.67,2009/02/11,[483],Mitsuhiro Arita,#125
hgss2-1,Jirachi,Rare Holo,HS—Unleashed,HeartGold & SoulSilver,7.07,9.0,2010/05/12,[385],Wataru Kawahara,#49
pl4-1,Charizard,Rare Holo,Arceus,Platinum,41.83,49.5,2009/11/04,[6],Kagemaru Himeno,#4
ex9-3,Exploud,Rare Holo,Emerald,EX,11.23,4.99,2005/05/01,[295],Hajime Kusajima,Non référencé
ex4-2,Team Aqua's Crawdaunt,Rare Holo,Team Magma vs Team Aqua,EX,7.39,7.45,2004/03/01,[342],Nakaoka,Non référencé
pop5-2,Lugia,Rare,POP Series 5,POP,31.87,,2007/03/01,[249],Mitsuhiro Arita,#15
dp4-2,Cresselia,Rare Holo,Great Encounters,Diamond & Pearl,8.59,5.97,2008/02/01,[488],Ryo Ueda,Non référencé
pop3-2,Flareon,Rare,POP Series 3,POP,9.07,,2006/04/01,[136],Masakazu Fukuda,Non référencé
bw5-3,Venusaur,Rare Holo,Dark Explorers,Black & White,5.47,13.01,2012/05/09,[3],Masakazu Fukuda,#183
ex12-5,Gengar,Rare Holo,Legend Maker,EX,29.68,60.0,2006/02/01,[94],Kouki Saitou,#10
pop4-3,Flygon,Rare,POP Series 4,POP,10.14,,2006/08/01,[330],Hisao Nakamura,#26
ex9-4,Gardevoir,Rare Holo,Emerald,EX,18.24,49.99,2005/05/01,[282],Kagemaru Himeno,#9
dp4-3,Darkrai,Rare Holo,Great Encounters,Diamond & Pearl,11.64,6.21,2008/02/01,[491],Masakazu Fukuda,#44
pop1-3,Rayquaza,Rare,POP Series 1,POP,13.71,,2004/09/01,[384],Katsura Tabata,#8
bw11-3,Shuckle,Uncommon,Legendary Treasures,Black & White,,10.37,2013/11/06,[213],MAHOU,#223
pop7-4,Latios,Rare,POP Series 7,POP,6.15,,2008/03/01,[381],Daisuke Ito,#149
bw5-2,Ivysaur,Uncommon,Dark Explorers,Black & White,,11.52,2012/05/09,[2],sui,Non référencé
dv1-4,Dragonair,Rare Holo,Dragon Vault,Black & White,5.08,,2012/10/05,[148],Kagemaru Himeno,#169
dp1-2,Dusknoir,Rare Holo,Diamond & Pearl,Diamond & Pearl,8.63,6.41,2007/05/01,[477],Takabon,Non référencé
dp3-4,Entei,Rare Holo,Secret Wonders,Diamond & Pearl,12.56,12.18,2007/11/01,[244],Ryo Ueda,#186
ex10-1,Ampharos,Rare Holo,Unseen Forces,EX,21.78,20.31,2005/08/01,[181],Kyoko Umemoto,#41
ex3-5,Golem,Rare Holo,Dragon,EX,13.37,8.92,2003/11/24,[76],Hisao Nakamura,Non référencé
ex4-3,Team Aqua's Kyogre,Rare Holo,Team Magma vs Team Aqua,EX,39.63,47.65,2004/03/01,[382],K. Hoshiba,#115
dv1-5,Dragonite,Rare Holo,Dragon Vault,Black & White,6.64,,2012/10/05,[149],Mitsuhiro Arita,#32
dp3-5,Flygon,Rare Holo,Secret Wonders,Diamond & Pearl,10.17,5.07,2007/11/01,[330],Daisuke Ito,#26
ex8-3,Breloom,Rare Holo,Deoxys,EX,16.57,14.5,2005/02/01,[286],Hajime Kusajima,#144
dpp-DP03,Piplup,Promo,DP Black Star Promos,Diamond & Pearl,6.88,,2007/05/01,[393],Atsuko Nishida,#38
ex14-2,Blastoise δ,Rare Holo,Crystal Guardians,EX,51.7,85.76,2006/08/01,[9],Masakazu Fukuda,#106
det1-5,Charizard,Rare Ultra,Detective Pikachu,Sun & Moon,5.1,,2019/04/05,[6],Framestore,#4
pl1-6,Dialga,Rare Holo,Platinum,Platinum,5.19,3.69,2009/02/11,[483],Kouki Saitou,#125
sm75-3,Charizard,Rare Holo,Dragon Majesty,Sun & Moon,4.93,11.05,2018/09/07,[6],Ryota Murayama,#4
pop3-4,Minun,Rare,POP Series 3,POP,7.27,,2006/04/01,[312],Sumiyoshi Kizuki,Non référencé
