id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,popularite
ex6-34,Haunter,Uncommon,FireRed & LeafGreen,EX,,36.27,2004/09/01,[93],Ken Sugimori,Non référencé
ecard1-30,Venusaur,Rare Holo,Expedition Base Set,E-Card,108.33,52.95,2002/09/15,[3],Shin-ichi Yoshikawa,#183
basep-35,Pichu,Promo,Wizards Black Star Promos,Base,,26.64,1999/07/01,[172],Ken Sugimori,#114
np-30,Suicune,Promo,Nintendo Black Star Promos,NP,14.63,,2003/10/01,[245],Atsuko Nishida,#57
ex10-37,Corsola,Uncommon,Unseen Forces,EX,,8.23,2005/08/01,[222],Kagemaru Himeno,Non référencé
bw9-38,Thundurus-EX,Rare Holo EX,Plasma Freeze,Black & White,6.03,,2013/05/08,[642],Eske Yoshinob,Non référencé
ex13-38,Claydol,Uncommon,Holon Phantoms,EX,,6.39,2006/05/01,[344],Kagemaru Himeno,Non référencé
ecard3-5,Beedrill,Rare,Skyridge,E-Card,,45.0,2003/05/12,[15],Hikaru Koike,Non référencé
dpp-DP39,Shaymin LV.X,Promo,DP Black Star Promos,Diamond & Pearl,11.28,,2007/05/01,[492],Shizurow,#100
ecard3-3,Arcanine,Rare,Skyridge,E-Card,,65.0,2003/05/12,[59],Aya Kusube,#48
ex7-36,Dark Gyarados,Uncommon,Team Rocket Returns,EX,,91.99,2004/11/01,[130],Nakaoka,Non référencé
ecard2-12,Exeggutor,Rare,Aquapolis,E-Card,,8.14,2003/01/15,[103],Yukiko Baba,Non référencé
dpp-DP38,Giratina LV.X,Promo,DP Black Star Promos,Diamond & Pearl,26.52,,2007/05/01,[487],Shizurow,#77
ex7-37,Dark Houndoom,Uncommon,Team Rocket Returns,EX,,49.99,2004/11/01,[229],Nakaoka,#120
ex6-35,Ivysaur,Uncommon,FireRed & LeafGreen,EX,,16.76,2004/09/01,[2],Atsuko Nishida,Non référencé
ex15-29,Electabuzz δ,Uncommon,Dragon Frontiers,EX,,6.97,2006/11/01,[125],Ken Sugimori,Non référencé
dp6-34,Mesprit,Rare,Legends Awakened,Diamond & Pearl,,17.87,2008/08/01,[481],Ken Sugimori,Non référencé
ecard1-31,Vileplume,Rare Holo,Expedition Base Set,E-Card,33.8,11.15,2002/09/15,[45],Miki Tanaka,Non référencé
np-32,Articuno ex,Promo,Nintendo Black Star Promos,NP,73.57,,2003/10/01,[144],Nakaoka,#184
pl4-42,Haunter,Uncommon,Arceus,Platinum,,5.04,2009/11/04,[93],Mitsuhiro Arita,Non référencé
bwp-BW29,Victory Cup,Promo,BW Black Star Promos,Black & White,79.99,,2011/03/01,,5ban Graphics,Non référencé
ex6-37,Lickitung,Uncommon,FireRed & LeafGreen,EX,,6.05,2004/09/01,[108],Sumiyoshi Kizuki,Non référencé
ex8-40,Metang,Uncommon,Deoxys,EX,,6.98,2005/02/01,[375],Hisao Nakamura,Non référencé
ecard1-32,Weezing,Rare Holo,Expedition Base Set,E-Card,58.46,21.72,2002/09/15,[110],Hajime Kusajima,Non référencé
dp1-43,Budew,Uncommon,Diamond & Pearl,Diamond & Pearl,,13.44,2007/05/01,[406],Ken Sugimori,Non référencé
np-34,Typhlosion,Promo,Nintendo Black Star Promos,NP,17.72,,2003/10/01,[157],Hajime Kusajima,#35
ex10-40,Lanturn,Uncommon,Unseen Forces,EX,,5.26,2005/08/01,[171],Hajime Kusajima,Non référencé
ex15-31,Horsea δ,Uncommon,Dragon Frontiers,EX,,5.87,2006/11/01,[116],Tomokazu Komiya,Non référencé
ex12-45,Tentacruel,Uncommon,Legend Maker,EX,,9.62,2006/02/01,[73],Kagemaru Himeno,Non référencé
ex8-41,Minun,Uncommon,Deoxys,EX,,10.78,2005/02/01,[312],Hajime Kusajima,Non référencé
ex10-38,Croconaw,Uncommon,Unseen Forces,EX,,8.45,2005/08/01,[159],Masakazu Fukuda,Non référencé
ex3-40,Seadra,Uncommon,Dragon,EX,,5.74,2003/11/24,[117],Midori Harada,#232
dpp-DP40,Regigigas,Promo,DP Black Star Promos,Diamond & Pearl,10.45,,2007/05/01,[486],Kagemaru Himeno,Non référencé
np-33,Zapdos ex,Promo,Nintendo Black Star Promos,NP,58.76,,2003/10/01,[145],K. Hoshiba,Non référencé
base6-36,Arcanine,Uncommon,Legendary Collection,Other,,149.07,2002/05/24,[59],Ken Sugimori,#48
ex7-39,Dark Magneton,Uncommon,Team Rocket Returns,EX,,28.83,2004/11/01,[82],Emi Miwa,Non référencé
ecard3-7,Dewgong,Rare,Skyridge,E-Card,,21.33,2003/05/12,[87],Kouki Saitou,Non référencé
ecard2-14,Houndoom,Rare,Aquapolis,E-Card,,34.26,2003/01/15,[229],Naoyo Kimura,#120
base6-37,Charmeleon,Uncommon,Legendary Collection,Other,,91.24,2002/05/24,[5],Mitsuhiro Arita,Non référencé
dpp-DP41,Toxicroak G,Promo,DP Black Star Promos,Diamond & Pearl,40.0,,2007/05/01,[454],Ryota Saito,Non référencé
bwp-BW30,Victory Cup,Promo,BW Black Star Promos,Black & White,79.94,,2011/03/01,,5ban Graphics,Non référencé
sm11-35,Slowpoke & Psyduck-GX,Rare Holo GX,Unified Minds,Sun & Moon,18.93,,2019/08/02,"[54, 79]",Mitsuhiro Arita,#150
ex15-30,Flaaffy δ,Uncommon,Dragon Frontiers,EX,,6.0,2006/11/01,[180],Yuka Morii,Non référencé
ex13-40,Donphan,Uncommon,Holon Phantoms,EX,,16.86,2006/05/01,[232],Hisao Nakamura,Non référencé
dp6-36,Regice,Rare,Legends Awakened,Diamond & Pearl,,7.89,2008/08/01,[378],Kazuaki Aihara,Non référencé
g1-29,Zapdos,Rare Holo,Generations,XY,12.07,,2016/02/22,[145],Ryo Ueda,Non référencé
ecard2-15,Houndoom,Rare,Aquapolis,E-Card,,43.7,2003/01/15,[229],Hajime Kusajima,#120
ex13-41,Exeggutor δ,Uncommon,Holon Phantoms,EX,,12.31,2006/05/01,[103],Midori Harada,Non référencé
ex7-40,Dark Pupitar,Uncommon,Team Rocket Returns,EX,,19.93,2004/11/01,[247],Tomoaki Imakuni,Non référencé
base6-35,Rhydon,Rare,Legendary Collection,Other,,79.99,2002/05/24,[112],Kagemaru Himeno,Non référencé
g1-28,Jolteon-EX,Rare Holo EX,Generations,XY,9.05,,2016/02/22,[135],Naoki Saito,#168
ecard2-13,Exeggutor,Rare,Aquapolis,E-Card,,13.0,2003/01/15,[103],Sumiyoshi Kizuki,Non référencé
ex9-42,Volbeat,Uncommon,Emerald,EX,,5.71,2005/05/01,[313],Kouki Saitou,Non référencé
ex11-39,Ditto,Uncommon,Delta Species,EX,,69.99,2005/10/31,[132],Yuka Morii,#135
ex12-44,Tangela,Uncommon,Legend Maker,EX,,6.9,2006/02/01,[114],Aya Kusube,Non référencé
ex14-38,Marshtomp,Uncommon,Crystal Guardians,EX,,5.52,2006/08/01,[259],Hisao Nakamura,Non référencé
dp7-33,Budew,Uncommon,Stormfront,Diamond & Pearl,,6.27,2008/11/01,[406],Yuka Morii,Non référencé
ex1-31,Grovyle,Uncommon,Ruby & Sapphire,EX,,7.17,2003/07/01,[253],Midori Harada,#181
ex5-35,Gloom,Uncommon,Hidden Legends,EX,,6.02,2004/06/01,[44],Yuka Morii,Non référencé
ecard3-8,Flareon,Rare,Skyridge,E-Card,,50.0,2003/05/12,[136],Kyoko Umemoto,Non référencé
ex11-40,Ditto,Uncommon,Delta Species,EX,,31.0,2005/10/31,[132],Yuka Morii,#135
ecard1-33,Alakazam,Rare,Expedition Base Set,E-Card,,36.98,2002/09/15,[65],Hajime Kusajima,Non référencé
sm115-44,Moltres & Zapdos & Articuno-GX,Rare Holo GX,Hidden Fates,Sun & Moon,11.41,,2019/08/23,"[144, 145, 146]",Mitsuhiro Arita,#184
ex15-32,Kirlia,Uncommon,Dragon Frontiers,EX,,6.21,2006/11/01,[281],Hajime Kusajima,Non référencé
ecard3-9,Forretress,Rare,Skyridge,E-Card,,10.0,2003/05/12,[205],Midori Harada,Non référencé
bwp-BW31,Victory Cup,Promo,BW Black Star Promos,Black & White,75.0,,2011/03/01,,5ban Graphics,Non référencé
ex13-42,Gloom δ,Uncommon,Holon Phantoms,EX,,6.83,2006/05/01,[44],Midori Harada,Non référencé
xy7-43,M Tyranitar-EX,Rare Holo EX,Ancient Origins,XY,7.27,,2015/08/12,[248],5ban Graphics,#12
ex10-41,Magcargo,Uncommon,Unseen Forces,EX,,6.92,2005/08/01,[219],Tomokazu Komiya,Non référencé
bw11-46,Zapdos,Rare Holo,Legendary Treasures,Black & White,2.8,6.4,2013/11/06,[145],Kouki Saitou,Non référencé
dp3-46,Charmeleon,Uncommon,Secret Wonders,Diamond & Pearl,,13.49,2007/11/01,[5],Atsuko Nishida,Non référencé
ex6-39,Metapod,Uncommon,FireRed & LeafGreen,EX,,7.93,2004/09/01,[11],Atsuko Nishida,Non référencé
ex11-41,Dragonair δ,Uncommon,Delta Species,EX,,31.02,2005/10/31,[148],Hajime Kusajima,#169
swshp-SWSH035,Decidueye,Promo,SWSH Black Star Promos,Sword & Shield,5.61,,2019/11/15,[724],Souichirou Gunjima,#22
ecard2-16,Hypno,Rare,Aquapolis,E-Card,,11.21,2003/01/15,[97],Mitsuhiro Arita,Non référencé
hgss2-42,Wartortle,Uncommon,HS—Unleashed,HeartGold & SoulSilver,,6.12,2010/05/12,[8],Masakazu Fukuda,Non référencé
ecard1-34,Ampharos,Rare,Expedition Base Set,E-Card,,22.95,2002/09/15,[181],Atsuko Nishida,#41
base6-39,Dark Wartortle,Uncommon,Legendary Collection,Other,,84.66,2002/05/24,[8],Kagemaru Himeno,Non référencé
ex1-32,Grovyle,Uncommon,Ruby & Sapphire,EX,,7.85,2003/07/01,[253],Ken Sugimori,#181
ex11-42,Dragonair δ,Uncommon,Delta Species,EX,,20.92,2005/10/31,[148],Mitsuhiro Arita,#169
ex7-41,Dark Pupitar,Uncommon,Team Rocket Returns,EX,,21.29,2004/11/01,[247],Emi Miwa,Non référencé
ex12-47,Weepinbell,Uncommon,Legend Maker,EX,,5.03,2006/02/01,[70],Katsura Tabata,Non référencé
ex3-43,Shuppet,Uncommon,Dragon,EX,,12.28,2003/11/24,[353],Aya Kusube,Non référencé
ecard1-35,Arbok,Rare,Expedition Base Set,E-Card,,7.3,2002/09/15,[24],Kyoko Umemoto,Non référencé
swshp-SWSH036,Arctozolt,Promo,SWSH Black Star Promos,Sword & Shield,38.57,,2019/11/15,[881],Hasuno,Non référencé
bw3-40,Eelektrik,Uncommon,Noble Victories,Black & White,,18.37,2011/11/16,[603],MAHOU,Non référencé
ecard2-17,Jumpluff,Rare,Aquapolis,E-Card,,16.4,2003/01/15,[189],Yuka Morii,Non référencé
ex13-43,Golduck δ,Uncommon,Holon Phantoms,EX,,14.53,2006/05/01,[55],Midori Harada,Non référencé
swshp-SWSH037,Hydreigon,Promo,SWSH Black Star Promos,Sword & Shield,5.48,,2019/11/15,[635],Taira Akitsu,#27
ex7-43,Heracross,Uncommon,Team Rocket Returns,EX,,25.58,2004/11/01,[214],Tomokazu Komiya,#107
ecard1-36,Blastoise,Rare,Expedition Base Set,E-Card,,50.74,2002/09/15,[9],Hiromichi Sugiyama,#106
sm8-42,Typhlosion,Rare Holo,Lost Thunder,Sun & Moon,5.87,5.84,2018/11/02,[157],Kouki Saitou,#35
ex12-46,Vibrava,Uncommon,Legend Maker,EX,,5.74,2006/02/01,[329],Atsuko Nishida,Non référencé
base6-38,Dark Dragonair,Uncommon,Legendary Collection,Other,,145.55,2002/05/24,[148],Kagemaru Himeno,#169
ex14-41,Skitty,Uncommon,Crystal Guardians,EX,,5.7,2006/08/01,[300],Miki Tanaka,Non référencé
ex6-40,Nidorina,Uncommon,FireRed & LeafGreen,EX,,6.46,2004/09/01,[30],Naoyo Kimura,Non référencé
ex7-42,Dark Weezing,Uncommon,Team Rocket Returns,EX,,18.76,2004/11/01,[110],Mitsuhiro Arita,Non référencé
col1-44,Flareon,Uncommon,Call of Legends,HeartGold & SoulSilver,,20.41,2011/02/09,[136],kawayoo,Non référencé
bw5-37,Jolteon,Uncommon,Dark Explorers,Black & White,,10.61,2012/05/09,[135],Sumiyoshi Kizuki,#168
ex3-44,Snorunt,Uncommon,Dragon,EX,,7.48,2003/11/24,[361],Sumiyoshi Kizuki,Non référencé
bw6-46,Mew-EX,Rare Holo EX,Dragons Exalted,Black & White,33.22,,2012/08/15,[151],Eske Yoshinob,#33
bw5-38,Raikou-EX,Rare Holo EX,Dark Explorers,Black & White,21.44,,2012/05/09,[243],Shizurow,Non référencé
hgss3-41,Vaporeon,Uncommon,HS—Undaunted,HeartGold & SoulSilver,,19.2,2010/08/18,[134],sui,#118
pl2-38,Alakazam E4,Uncommon,Rising Rivals,Platinum,,9.14,2009/05/16,[65],Mitsuhiro Arita,Non référencé
dp5-37,Grotle,Uncommon,Majestic Dawn,Diamond & Pearl,,5.97,2008/05/01,[388],Daisuke Ito,Non référencé
np-35,Pikachu δ,Promo,Nintendo Black Star Promos,NP,78.31,,2003/10/01,[25],Ryo Ueda,#19
sm10-35,Blastoise-GX,Rare Holo GX,Unbroken Bonds,Sun & Moon,5.49,,2019/05/03,[9],sadaji,#106
ex10-42,Miltank,Uncommon,Unseen Forces,EX,,19.9,2005/08/01,[241],Tomokazu Komiya,Non référencé
ex15-33,Kirlia δ,Uncommon,Dragon Frontiers,EX,,11.62,2006/11/01,[281],Kyoko Umemoto,Non référencé
ex8-43,Nuzleaf,Uncommon,Deoxys,EX,,5.58,2005/02/01,[274],Kouki Saitou,Non référencé
ex6-41,Nidorino,Uncommon,FireRed & LeafGreen,EX,,6.05,2004/09/01,[33],Hisao Nakamura,Non référencé
ex14-42,Wartortle,Uncommon,Crystal Guardians,EX,,12.09,2006/08/01,[8],Kouki Saitou,Non référencé
ex11-43,Golbat,Uncommon,Delta Species,EX,,13.75,2005/10/31,[42],Yukiko Baba,Non référencé
np-37,Kyogre ex,Promo,Nintendo Black Star Promos,NP,40.29,,2003/10/01,[382],Ryo Ueda,#115
col1-45,Jolteon,Uncommon,Call of Legends,HeartGold & SoulSilver,,12.01,2011/02/09,[135],Shin Nagasawa,#168
ex10-43,Noctowl,Uncommon,Unseen Forces,EX,,9.65,2005/08/01,[164],Mitsuhiro Arita,Non référencé
ex15-35,Nidorino δ,Uncommon,Dragon Frontiers,EX,,5.32,2006/11/01,[33],Atsuko Nishida,Non référencé
base6-41,Dodrio,Uncommon,Legendary Collection,Other,,37.49,2002/05/24,[85],Mitsuhiro Arita,Non référencé
smp-SM36,Umbreon-GX,Promo,SM Black Star Promos,Sun & Moon,10.64,,2017/02/03,[197],5ban Graphics,#5
ex7-44,Magmar,Uncommon,Team Rocket Returns,EX,,15.13,2004/11/01,[126],Yukiko Baba,Non référencé
ex10-45,Quilava,Uncommon,Unseen Forces,EX,,13.92,2005/08/01,[156],Hajime Kusajima,#193
dpp-DP46,Garchomp C LV.X,Promo,DP Black Star Promos,Diamond & Pearl,14.09,,2007/05/01,[445],Shizurow,#7
dp1-48,Elekid,Uncommon,Diamond & Pearl,Diamond & Pearl,,7.42,2007/05/01,[239],Kagemaru Himeno,Non référencé
ecard2-20,Lanturn,Rare,Aquapolis,E-Card,,15.0,2003/01/15,[171],Mitsuhiro Arita,Non référencé
ex13-44,Holon's Castform,Uncommon,Holon Phantoms,EX,,17.13,2006/05/01,[351],Mitsuhiro Arita,Non référencé
base6-40,Dewgong,Uncommon,Legendary Collection,Other,,40.0,2002/05/24,[87],Mitsuhiro Arita,Non référencé
xyp-XY34,Metagross-EX,Promo,XY Black Star Promos,XY,13.59,,2013/10/12,[376],PLANETA,#34
np-38,Groudon ex,Promo,Nintendo Black Star Promos,NP,40.74,,2003/10/01,[383],Ryo Ueda,#153
bwp-BW34,Luxio,Promo,BW Black Star Promos,Black & White,21.49,,2011/03/01,[404],Naoki Saito,Non référencé
ex1-35,Kirlia,Uncommon,Ruby & Sapphire,EX,,6.44,2003/07/01,[281],Atsuko Nishida,Non référencé
ecard1-37,Blastoise,Rare,Expedition Base Set,E-Card,,64.83,2002/09/15,[9],Kimiya Masago,#106
xyp-XY35,M Metagross-EX,Promo,XY Black Star Promos,XY,17.54,,2013/10/12,[376],5ban Graphics,#34
ecard2-19,Kingdra,Rare,Aquapolis,E-Card,,22.5,2003/01/15,[230],Atsuko Nishida,Non référencé
ex13-46,Manectric,Uncommon,Holon Phantoms,EX,,11.41,2006/05/01,[310],Midori Harada,Non référencé
ex6-43,Parasect,Uncommon,FireRed & LeafGreen,EX,,11.91,2004/09/01,[47],Yuka Morii,Non référencé
base6-43,Golduck,Uncommon,Legendary Collection,Other,,59.97,2002/05/24,[55],Kagemaru Himeno,Non référencé
ex7-46,Rocket's Meowth,Uncommon,Team Rocket Returns,EX,,68.92,2004/11/01,[52],Mitsuhiro Arita,Non référencé
ex10-46,Scyther,Uncommon,Unseen Forces,EX,,24.7,2005/08/01,[123],Hajime Kusajima,Non référencé
dp3-51,Ivysaur,Uncommon,Secret Wonders,Diamond & Pearl,,7.0,2007/11/01,[2],Kagemaru Himeno,Non référencé
ex15-37,Seadra δ,Uncommon,Dragon Frontiers,EX,,5.02,2006/11/01,[117],Hisao Nakamura,#232
ecard2-18,Jynx,Rare,Aquapolis,E-Card,,14.58,2003/01/15,[124],Hisao Nakamura,Non référencé
ex6-42,Onix,Uncommon,FireRed & LeafGreen,EX,,5.85,2004/09/01,[95],Kouki Saitou,Non référencé
pl2-41,Glaceon,Uncommon,Rising Rivals,Platinum,,9.42,2009/05/16,[471],Naoyo Kimura,#58
swshp-SWSH038,Kangaskhan,Promo,SWSH Black Star Promos,Sword & Shield,10.72,,2019/11/15,[115],HYOGONOSUKE,Non référencé
dpp-DP45,Charizard G LV.X,Promo,DP Black Star Promos,Diamond & Pearl,115.28,,2007/05/01,[6],Wataru Kawahara,#4
base6-42,Fearow,Uncommon,Legendary Collection,Other,,38.0,2002/05/24,[22],Mitsuhiro Arita,Non référencé
ex15-36,Quilava δ,Uncommon,Dragon Frontiers,EX,,13.43,2006/11/01,[156],Midori Harada,#193
ex5-40,Luvdisc,Uncommon,Hidden Legends,EX,,7.36,2004/06/01,[370],Miki Tanaka,Non référencé
bwp-BW33,Riolu,Promo,BW Black Star Promos,Black & White,9.99,,2011/03/01,[447],sui,Non référencé
ecard3-11,Gyarados,Rare,Skyridge,E-Card,,150.0,2003/05/12,[130],Kimiya Masago,Non référencé
smp-SM35,Espeon-GX,Promo,SM Black Star Promos,Sun & Moon,6.28,,2017/02/03,[196],5ban Graphics,#46
ex8-44,Plusle,Uncommon,Deoxys,EX,,18.98,2005/02/01,[311],Hajime Kusajima,Non référencé
pl2-40,Gengar GL,Uncommon,Rising Rivals,Platinum,,25.04,2009/05/16,[94],Naoyo Kimura,#10
ex15-34,Nidorina δ,Uncommon,Dragon Frontiers,EX,,6.45,2006/11/01,[30],Sumiyoshi Kizuki,Non référencé
ex14-43,Wartortle,Uncommon,Crystal Guardians,EX,,15.64,2006/08/01,[8],Atsuko Nishida,Non référencé
ex10-44,Quagsire,Uncommon,Unseen Forces,EX,,12.16,2005/08/01,[195],Kagemaru Himeno,#141
np-39,Rayquaza ex,Promo,Nintendo Black Star Promos,NP,88.23,,2003/10/01,[384],Ryo Ueda,#8
ecard1-38,Butterfree,Rare,Expedition Base Set,E-Card,,15.71,2002/09/15,[12],Sumiyoshi Kizuki,Non référencé
ecard3-13,Jolteon,Rare,Skyridge,E-Card,,64.99,2003/05/12,[135],Hikaru Koike,#168
pl1-47,Crobat G,Uncommon,Platinum,Platinum,,5.52,2009/02/11,[169],Makoto Imai,#74
ex11-46,Kakuna,Uncommon,Delta Species,EX,,8.22,2005/10/31,[14],Sachiko Adachi,Non référencé
bw4-51,Zekrom-EX,Rare Holo EX,Next Destinies,Black & White,9.08,,2012/02/08,[644],Shizurow,#75
ex7-45,Mantine,Uncommon,Team Rocket Returns,EX,,22.48,2004/11/01,[226],Miki Tanaka,Non référencé
ecard2-21,Lanturn,Rare,Aquapolis,E-Card,,11.51,2003/01/15,[171],Yuka Morii,Non référencé
dpp-DP47,Rayquaza C LV.X,Promo,DP Black Star Promos,Diamond & Pearl,46.89,,2007/05/01,[384],Shizurow,#8
sma-SV41,Eevee,Rare Shiny,Hidden Fates Shiny Vault,Sun & Moon,20.52,,2019/08/23,[133],kirisAki,#20
dp6-42,Unown [!],Rare,Legends Awakened,Diamond & Pearl,,14.39,2008/08/01,[201],Kent Kanetsuna,Non référencé
smp-SM38,Incineroar-GX,Promo,SM Black Star Promos,Sun & Moon,5.91,,2017/02/03,[727],5ban Graphics,#47
ex2-40,Kirlia,Uncommon,Sandstorm,EX,,9.36,2003/09/18,[281],Hajime Kusajima,Non référencé
np-40,Mew,Promo,Nintendo Black Star Promos,NP,21.73,,2003/10/01,[151],Masakazu Fukuda,#33
ecard1-39,Charizard,Rare,Expedition Base Set,E-Card,,200.0,2002/09/15,[6],Atsuko Nishida,#4
ex6-44,Persian,Uncommon,FireRed & LeafGreen,EX,,15.99,2004/09/01,[53],Masakazu Fukuda,Non référencé
ex10-47,Shuckle,Uncommon,Unseen Forces,EX,,20.49,2005/08/01,[213],Miki Tanaka,#223
ex11-47,Kirlia,Uncommon,Delta Species,EX,,7.32,2005/10/31,[281],Midori Harada,Non référencé
dp1-50,Haunter,Uncommon,Diamond & Pearl,Diamond & Pearl,,7.56,2007/05/01,[93],Naoyo Kimura,Non référencé
dpp-DP49,Dialga,Promo,DP Black Star Promos,Diamond & Pearl,6.64,,2007/05/01,[483],Kagemaru Himeno,#125
ex11-48,Magneton,Uncommon,Delta Species,EX,,5.15,2005/10/31,[82],Kagemaru Himeno,Non référencé
ex13-49,Pidgeotto δ,Uncommon,Holon Phantoms,EX,,15.65,2006/05/01,[17],Atsuko Nishida,Non référencé
g1-35,Gengar,Rare Holo,Generations,XY,6.2,7.24,2016/02/22,[94],Saya Tsuruta,#10
dp2-42,Chingling,Uncommon,Mysterious Treasures,Diamond & Pearl,,7.0,2007/08/01,[433],Emi Yoshida,Non référencé
ecard3-14,Kabutops,Rare,Skyridge,E-Card,,16.43,2003/05/12,[141],Kouki Saitou,Non référencé
dp6-43,Uxie,Rare,Legends Awakened,Diamond & Pearl,,12.81,2008/08/01,[480],Ken Sugimori,Non référencé
ex8-48,Starmie,Uncommon,Deoxys,EX,,6.65,2005/02/01,[121],Yukiko Baba,Non référencé
ex2-41,Lairon,Uncommon,Sandstorm,EX,,5.13,2003/09/18,[305],Atsuko Nishida,Non référencé
ex6-45,Pidgeotto,Uncommon,FireRed & LeafGreen,EX,,6.99,2004/09/01,[17],Midori Harada,Non référencé
ex13-48,Persian δ,Uncommon,Holon Phantoms,EX,,12.99,2006/05/01,[53],Midori Harada,Non référencé
ex3-48,Whiscash,Uncommon,Dragon,EX,,18.95,2003/11/24,[340],Tomokazu Komiya,Non référencé
bw8-48,Zapdos-EX,Rare Holo EX,Plasma Storm,Black & White,5.86,,2013/02/06,[145],Eske Yoshinob,Non référencé
ecard3-15,Ledian,Rare,Skyridge,E-Card,,19.99,2003/05/12,[166],Hikaru Koike,Non référencé
base6-44,Graveler,Uncommon,Legendary Collection,Other,,40.15,2002/05/24,[75],Kagemaru Himeno,Non référencé
ex6-46,Poliwhirl,Uncommon,FireRed & LeafGreen,EX,,15.56,2004/09/01,[61],Ken Sugimori,Non référencé
bw11-53,Mewtwo,Rare Holo,Legendary Treasures,Black & White,10.35,12.58,2013/11/06,[150],Ayaka Yoshida,#33
base6-45,Growlithe,Uncommon,Legendary Collection,Other,,72.96,2002/05/24,[58],Ken Sugimori,Non référencé
ex7-48,Seadra,Uncommon,Team Rocket Returns,EX,,11.84,2004/11/01,[117],Kagemaru Himeno,#232
xyp-XY39,Kingdra,Promo,XY Black Star Promos,XY,9.41,,2013/10/12,[230],hatachu,Non référencé
xy9-41,Greninja BREAK,Rare BREAK,BREAKpoint,XY,7.71,,2016/02/03,[658],5ban Graphics,#1
ecard1-40,Charizard,Rare,Expedition Base Set,E-Card,,107.5,2002/09/15,[6],Hiromichi Sugiyama,#4
ecard2-22,Magneton,Rare,Aquapolis,E-Card,,18.44,2003/01/15,[82],Hikaru Koike,Non référencé
bw11-52,Zekrom-EX,Rare Holo EX,Legendary Treasures,Black & White,5.27,,2013/11/06,[644],Shizurow,#75
bw9-48,Espeon,Uncommon,Plasma Freeze,Black & White,,15.24,2013/05/08,[196],5ban Graphics,#46
ex7-47,Rocket's Wobbuffet,Uncommon,Team Rocket Returns,EX,,31.9,2004/11/01,[202],Mitsuhiro Arita,#228
ecard3-16,Machamp,Rare,Skyridge,E-Card,,52.47,2003/05/12,[68],Naoyo Kimura,Non référencé
ex15-39,Smeargle δ,Uncommon,Dragon Frontiers,EX,,7.31,2006/11/01,[235],Kagemaru Himeno,Non référencé
sm35-40,Shining Mew,Rare Shining,Shining Legends,Sun & Moon,36.39,,2017/10/06,[151],Sanosuke Sakuma,#33
ecard2-23,Muk,Rare,Aquapolis,E-Card,,15.56,2003/01/15,[89],Hajime Kusajima,#124
ex10-48,Smeargle,Uncommon,Unseen Forces,EX,,7.91,2005/08/01,[235],Sumiyoshi Kizuki,Non référencé
pl2-45,Leafeon,Uncommon,Rising Rivals,Platinum,,7.79,2009/05/16,[470],Suwama Chiaki,#80
pl1-50,Houndoom G,Uncommon,Platinum,Platinum,,7.27,2009/02/11,[229],Kent Kanetsuna,#120
dpp-DP50,Arceus,Promo,DP Black Star Promos,Diamond & Pearl,10.05,,2007/05/01,[493],Kunihiko Yuyama,#63
ex7-49,Skiploom,Uncommon,Team Rocket Returns,EX,,11.2,2004/11/01,[188],Kyoko Umemoto,Non référencé
ex7-50,Togepi,Uncommon,Team Rocket Returns,EX,,25.73,2004/11/01,[175],Sumiyoshi Kizuki,#126
ex11-50,Persian,Uncommon,Delta Species,EX,,5.97,2005/10/31,[53],Naoyo Kimura,Non référencé
col1-52,Vaporeon,Uncommon,Call of Legends,HeartGold & SoulSilver,,9.26,2011/02/09,[134],sui,#118
ecard1-42,Cloyster,Rare,Expedition Base Set,E-Card,,8.44,2002/09/15,[91],Kyoko Umemoto,Non référencé
sma-SV46,Leafeon-GX,Rare Shiny GX,Hidden Fates Shiny Vault,Sun & Moon,35.06,,2019/08/23,[470],5ban Graphics,#80
ecard2-26,Octillery,Rare,Aquapolis,E-Card,,5.52,2003/01/15,[224],Kouki Saitou,Non référencé
ex15-41,Togepi δ,Uncommon,Dragon Frontiers,EX,,8.07,2006/11/01,[175],Miki Tanaka,#126
base6-46,Haunter,Uncommon,Legendary Collection,Other,,101.65,2002/05/24,[93],Ken Sugimori,Non référencé
ex8-49,Swellow,Uncommon,Deoxys,EX,,5.5,2005/02/01,[277],Midori Harada,Non référencé
ecard1-41,Clefable,Rare,Expedition Base Set,E-Card,,10.84,2002/09/15,[36],Kagemaru Himeno,Non référencé
dp5-45,Raichu,Uncommon,Majestic Dawn,Diamond & Pearl,,13.85,2008/05/01,[26],Daisuke Ito,#165
ecard2-25,Ninetales,Rare,Aquapolis,E-Card,,29.99,2003/01/15,[38],Kagemaru Himeno,#91
bwp-BW40,Volcarona,Promo,BW Black Star Promos,Black & White,13.74,,2011/03/01,[637],Shin Nagasawa,#65
ecard3-18,Magcargo,Rare,Skyridge,E-Card,,14.49,2003/05/12,[219],Mitsuhiro Arita,Non référencé
xyp-XY41,Kyogre-EX,Promo,XY Black Star Promos,XY,5.28,,2013/10/12,[382],Eske Yoshinob,#115
sm9-53,Gengar & Mimikyu-GX,Rare Holo GX,Team Up,Sun & Moon,61.31,,2019/02/01,"[94, 778]",Mitsuhiro Arita,#3
