id,Classement,en,Votes
156.0,#193,Quilava,10 032
81.0,#194,Magnemite,9 955
233.0,#195,Porygon2,9 902
573.0,#196,Cinccino,9 892
792.0,#197,Lunala,9 887
691.0,#198,Dragalge,9 882
587.0,#199,Emolga,9 798
417.0,#200,Pachirisu,9 694
479.0,#201,Rotom,9 417
252.0,#202,Treecko,9 339
194.0,#203,Wooper,9 323
710.0,#204,Pumpkaboo,9 162
407.0,#205,Roserade,9 092
,#206,,9 019
302.0,#207,Sableye,9 012
647.0,#208,Keldeo,8 915
754.0,#209,Lurantis,8 889
675.0,#210,Pangoro,8 859
429.0,#211,Mismagius,8 833
595.0,#212,Joltik,8 795
572.0,#213,Minccino,8 739
272.0,#214,Ludicolo,8 708
862.0,#215,Obstagoon,8 705
812.0,#216,Rillaboom,8 625
777.0,#217,Togedemaru,8 531
845.0,#218,Cramorant,8 436
403.0,#219,Shinx,8 373
708.0,#220,Phantump,8 231
748.0,#221,Toxapex,8 221
200.0,#222,Misdreavus,8 156
213.0,#223,Shuckle,8 129
,#224,,8 090
623.0,#225,Golurk,8 035
649.0,#226,Genesect,7 905
750.0,#227,Mudsdale,7 787
202.0,#228,Wobbuffet,7 745
800.0,#229,Necrozma,7 739
728.0,#230,Popplio,7 542
789.0,#231,Cosmog,7 515
117.0,#232,Seadra,7 418
446.0,#233,Munchlax,7 289
743.0,#234,Ribombee,7 126
474.0,#235,Porygon-Z,7 040
292.0,#236,Shedinja,6 703
687.0,#237,Malamar,6 503
262.0,#238,Mightyena,6 459
695.0,#239,Heliolisk,6 386
656.0,#240,Froakie,6 293
