id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,images_url,popularity_rank
ex11-20,Azurill,Rare,Delta Species,EX,,9.64,2005/10/31,[298],Midori Harada,https://images.pokemontcg.io/ex11/20_hires.png,Not Referenced
ex4-20,Team Magma's Lairon,Rare,Team Magma vs Team Aqua,EX,,7.98,2004/03/01,[305],Hiromichi Sugiyama,https://images.pokemontcg.io/ex4/20_hires.png,Not Referenced
ex9-20,Seviper,Rare,Emerald,EX,,11.72,2005/05/01,[336],Mitsuhiro Arita,https://images.pokemontcg.io/ex9/20_hires.png,Not Referenced
dp5-11,Palkia,Rare Holo,Majestic Dawn,Diamond & Pearl,14.26,9.44,2008/05/01,[484],Masakazu Fukuda,https://images.pokemontcg.io/dp5/11_hires.png,Not Referenced
base6-20,Beedrill,Rare,Legendary Collection,Other,,80.00,2002/05/24,[15],Ken Sugimori,https://images.pokemontcg.io/base6/20_hires.png,Not Referenced
xy7-21,Gyarados,Rare Holo,Ancient Origins,XY,14.74,20.30,2015/08/12,[130],TOKIYA,https://images.pokemontcg.io/xy7/21_hires.png,Not Referenced
xy12-13,M Charizard-EX,Rare Holo EX,Evolutions,XY,32.05,,2016/11/02,[6],5ban Graphics,https://images.pokemontcg.io/xy12/13_hires.png,#4
ecard1-9,Dragonite,Rare Holo,Expedition Base Set,E-Card,213.32,90.00,2002/09/15,[149],Kagemaru Himeno,https://images.pokemontcg.io/ecard1/9_hires.png,#32
bw11-21,Ninetales,Rare,Legendary Treasures,Black & White,,13.65,2013/11/06,[38],Satoshi Shirai,https://images.pokemontcg.io/bw11/21_hires.png,#91
ex12-21,Magmar,Rare,Legend Maker,EX,,18.48,2006/02/01,[126],Sumiyoshi Kizuki,https://images.pokemontcg.io/ex12/21_hires.png,Not Referenced
basep-15,Cool Porygon,Promo,Wizards Black Star Promos,Base,27.25,,1999/07/01,[137],Hiromichi Sugiyama,https://images.pokemontcg.io/basep/15_hires.png,#161
ex9-19,Rhydon,Rare,Emerald,EX,,11.27,2005/05/01,[112],Kouki Saitou,https://images.pokemontcg.io/ex9/19_hires.png,Not Referenced
ex14-16,Combusken,Rare,Crystal Guardians,EX,,5.48,2006/08/01,[256],Suwama Chiaki,https://images.pokemontcg.io/ex14/16_hires.png,Not Referenced
ex15-9,Pinsir δ,Rare Holo,Dragon Frontiers,EX,6.82,16.65,2006/11/01,[127],Yukiko Baba,https://images.pokemontcg.io/ex15/9_hires.png,#166
ex8-17,Deoxys,Rare,Deoxys,EX,,28.33,2005/02/01,[386],Hironobu Yoshida,https://images.pokemontcg.io/ex8/17_hires.png,#179
swshp-SWSH009,Cinccino,Promo,SWSH Black Star Promos,Sword & Shield,53.36,,2019/11/15,[573],Shibuzoh.,https://images.pokemontcg.io/swshp/SWSH009_hires.png,#196
col1-20,Rayquaza,Rare Holo,Call of Legends,HeartGold & SoulSilver,40.80,27.78,2011/02/09,[384],Ryo Ueda,https://images.pokemontcg.io/col1/20_hires.png,#8
ex5-13,Pinsir,Rare Holo,Hidden Legends,EX,10.44,7.89,2004/06/01,[127],Hajime Kusajima,https://images.pokemontcg.io/ex5/13_hires.png,#166
hsp-HGSS11,Latios,Promo,HGSS Black Star Promos,HeartGold & SoulSilver,12.35,,2010/02/10,[381],Wataru Kawahara,https://images.pokemontcg.io/hsp/HGSS11_hires.png,#149
ex12-22,Magneton,Rare,Legend Maker,EX,,11.45,2006/02/01,[82],Hisao Nakamura,https://images.pokemontcg.io/ex12/22_hires.png,Not Referenced
ex11-21,Holon's Electrode,Rare,Delta Species,EX,,10.21,2005/10/31,[101],Hisao Nakamura,https://images.pokemontcg.io/ex11/21_hires.png,Not Referenced
ex15-11,Togetic δ,Rare Holo,Dragon Frontiers,EX,10.42,10.84,2006/11/01,[176],Kouki Saitou,https://images.pokemontcg.io/ex15/11_hires.png,Not Referenced
dp7-11,Torterra,Rare Holo,Stormfront,Diamond & Pearl,4.29,6.03,2008/11/01,[389],Masakazu Fukuda,https://images.pokemontcg.io/dp7/11_hires.png,#83
ex7-20,Dark Tyranitar,Rare,Team Rocket Returns,EX,,71.93,2004/11/01,[248],Kyoko Koizumi,https://images.pokemontcg.io/ex7/20_hires.png,#12
g1-10,Leafeon-EX,Rare Holo EX,Generations,XY,9.61,,2016/02/22,[470],Naoki Saito,https://images.pokemontcg.io/g1/10_hires.png,#80
dp6-11,Mewtwo,Rare Holo,Legends Awakened,Diamond & Pearl,32.16,23.89,2008/08/01,[150],Ken Sugimori,https://images.pokemontcg.io/dp6/11_hires.png,#33
ex5-14,Shiftry,Rare Holo,Hidden Legends,EX,6.79,6.99,2004/06/01,[275],Hisao Nakamura,https://images.pokemontcg.io/ex5/14_hires.png,Not Referenced
ex1-14,Wailord,Rare Holo,Ruby & Sapphire,EX,14.64,7.67,2003/07/01,[321],Ken Sugimori,https://images.pokemontcg.io/ex1/14_hires.png,Not Referenced
g1-11,Charizard-EX,Rare Holo EX,Generations,XY,16.30,,2016/02/22,[6],Eske Yoshinob,https://images.pokemontcg.io/g1/11_hires.png,#4
ecard1-12,Feraligatr,Rare Holo,Expedition Base Set,E-Card,142.83,38.28,2002/09/15,[160],Mitsuhiro Arita,https://images.pokemontcg.io/ecard1/12_hires.png,#97
ex16-11,Machamp,Rare Holo,Power Keepers,EX,6.88,10.62,2007/02/02,[68],Ken Sugimori,https://images.pokemontcg.io/ex16/11_hires.png,Not Referenced
col1-21,Smeargle,Rare Holo,Call of Legends,HeartGold & SoulSilver,6.61,7.74,2011/02/09,[235],Midori Harada,https://images.pokemontcg.io/col1/21_hires.png,Not Referenced
ex9-21,Zangoose,Rare,Emerald,EX,,15.89,2005/05/01,[335],Midori Harada,https://images.pokemontcg.io/ex9/21_hires.png,Not Referenced
hgss2-20,Ninetales,Rare,HS—Unleashed,HeartGold & SoulSilver,,13.95,2010/05/12,[38],Hajime Kusajima,https://images.pokemontcg.io/hgss2/20_hires.png,#91
ex16-12,Raichu,Rare Holo,Power Keepers,EX,15.38,20.22,2007/02/02,[26],Hajime Kusajima,https://images.pokemontcg.io/ex16/12_hires.png,#165
ex12-23,Omastar,Rare,Legend Maker,EX,,8.97,2006/02/01,[139],Mitsuhiro Arita,https://images.pokemontcg.io/ex12/23_hires.png,Not Referenced
dpp-DP21,Raichu,Promo,DP Black Star Promos,Diamond & Pearl,8.12,,2007/05/01,[26],Daisuke Ito,https://images.pokemontcg.io/dpp/DP21_hires.png,#165
ex9-22,Breloom,Uncommon,Emerald,EX,,9.73,2005/05/01,[286],Mitsuhiro Arita,https://images.pokemontcg.io/ex9/22_hires.png,#144
ex3-21,Skarmory,Rare,Dragon,EX,,6.70,2003/11/24,[227],Hisao Nakamura,https://images.pokemontcg.io/ex3/21_hires.png,Not Referenced
ex8-21,Pelipper,Rare,Deoxys,EX,,11.40,2005/02/01,[279],Tomokazu Komiya,https://images.pokemontcg.io/ex8/21_hires.png,Not Referenced
g1-12,M Charizard-EX,Rare Holo EX,Generations,XY,61.20,,2016/02/22,[6],5ban Graphics,https://images.pokemontcg.io/g1/12_hires.png,#4
ex5-16,Bellossom,Rare,Hidden Legends,EX,,7.70,2004/06/01,[182],Yuka Morii,https://images.pokemontcg.io/ex5/16_hires.png,Not Referenced
ecard2-H25,Suicune,Rare Holo,Aquapolis,E-Card,101.20,,2003/01/15,[245],Atsuko Nishida,https://images.pokemontcg.io/ecard2/H25_hires.png,#57
dp5-14,Zapdos,Rare Holo,Majestic Dawn,Diamond & Pearl,26.91,17.26,2008/05/01,[145],Mitsuhiro Arita,https://images.pokemontcg.io/dp5/14_hires.png,Not Referenced
dc1-14,Team Magma's Aggron,Rare Holo,Double Crisis,XY,1.87,5.41,2015/03/25,[306],TOKIYA,https://images.pokemontcg.io/dc1/14_hires.png,#52
ex6-17,Victreebel,Rare Holo,FireRed & LeafGreen,EX,6.40,11.04,2004/09/01,[71],Tomokazu Komiya,https://images.pokemontcg.io/ex6/17_hires.png,Not Referenced
ecard1-14,Golem,Rare Holo,Expedition Base Set,E-Card,35.62,18.95,2002/09/15,[76],Aya Kusube,https://images.pokemontcg.io/ecard1/14_hires.png,Not Referenced
col1-24,Cleffa,Rare,Call of Legends,HeartGold & SoulSilver,,5.70,2011/02/09,[173],sui,https://images.pokemontcg.io/col1/24_hires.png,Not Referenced
ex1-15,Blaziken,Rare,Ruby & Sapphire,EX,,16.12,2003/07/01,[257],Ken Sugimori,https://images.pokemontcg.io/ex1/15_hires.png,#29
dp6-14,Rayquaza,Rare Holo,Legends Awakened,Diamond & Pearl,41.23,35.43,2008/08/01,[384],Kent Kanetsuna,https://images.pokemontcg.io/dp6/14_hires.png,#8
col1-25,Feraligatr,Rare,Call of Legends,HeartGold & SoulSilver,,9.60,2011/02/09,[160],kawayoo,https://images.pokemontcg.io/col1/25_hires.png,#97
dc1-15,Team Magma's Groudon-EX,Rare Ultra,Double Crisis,XY,118.82,,2015/03/25,[383],nagimiso,https://images.pokemontcg.io/dc1/15_hires.png,#153
ecard1-15,Kingler,Rare Holo,Expedition Base Set,E-Card,31.77,20.49,2002/09/15,[99],Shin-ichi Yoshida,https://images.pokemontcg.io/ecard1/15_hires.png,Not Referenced
ex10-23,Elekid,Rare,Unseen Forces,EX,,9.29,2005/08/01,[239],Yuka Morii,https://images.pokemontcg.io/ex10/23_hires.png,Not Referenced
ex8-20,Magcargo,Rare,Deoxys,EX,,6.16,2005/02/01,[219],Midori Harada,https://images.pokemontcg.io/ex8/20_hires.png,Not Referenced
ex13-19,Bellossom δ,Rare,Holon Phantoms,EX,,15.39,2006/05/01,[182],Kagemaru Himeno,https://images.pokemontcg.io/ex13/19_hires.png,Not Referenced
pl3-20,Charizard G,Rare,Supreme Victors,Platinum,,77.75,2009/08/19,[6],Wataru Kawahara,https://images.pokemontcg.io/pl3/20_hires.png,#4
ecard1-13,Gengar,Rare Holo,Expedition Base Set,E-Card,136.68,98.99,2002/09/15,[94],Yukiko Baba,https://images.pokemontcg.io/ecard1/13_hires.png,#10
ex4-22,Team Magma's Rhydon,Rare,Team Magma vs Team Aqua,EX,,8.76,2004/03/01,[112],T. Honda,https://images.pokemontcg.io/ex4/22_hires.png,Not Referenced
dp6-12,Politoed,Rare Holo,Legends Awakened,Diamond & Pearl,9.87,9.79,2008/08/01,[186],Masakazu Fukuda,https://images.pokemontcg.io/dp6/12_hires.png,Not Referenced
ecard2-H24,Sudowoodo,Rare Holo,Aquapolis,E-Card,54.44,,2003/01/15,[185],Kagemaru Himeno,https://images.pokemontcg.io/ecard2/H24_hires.png,Not Referenced
bw4-22,Reshiram-EX,Rare Holo EX,Next Destinies,Black & White,9.45,,2012/02/08,[643],Shizurow,https://images.pokemontcg.io/bw4/22_hires.png,#87
xyp-XY13,Machamp,Promo,XY Black Star Promos,XY,6.86,,2013/10/12,[68],PLANETA,https://images.pokemontcg.io/xyp/XY13_hires.png,Not Referenced
pl2-19,Flareon,Rare,Rising Rivals,Platinum,,15.84,2009/05/16,[136],Midori Harada,https://images.pokemontcg.io/pl2/19_hires.png,Not Referenced
dp5-13,Rotom,Rare Holo,Majestic Dawn,Diamond & Pearl,4.66,7.97,2008/05/01,[479],Kagemaru Himeno,https://images.pokemontcg.io/dp5/13_hires.png,#201
hgss1-24,Lapras,Rare,HeartGold & SoulSilver,HeartGold & SoulSilver,,8.97,2010/02/10,[131],Suwama Chiaki,https://images.pokemontcg.io/hgss1/24_hires.png,#66
ex7-22,Furret,Rare,Team Rocket Returns,EX,,18.99,2004/11/01,[162],Yuka Morii,https://images.pokemontcg.io/ex7/22_hires.png,#76
bw9-20,Vaporeon,Uncommon,Plasma Freeze,Black & White,,16.51,2013/05/08,[134],5ban Graphics,https://images.pokemontcg.io/bw9/20_hires.png,#118
np-12,Pikachu,Promo,Nintendo Black Star Promos,NP,22.87,,2003/10/01,[25],Kouki Saitou,https://images.pokemontcg.io/np/12_hires.png,#19
ecard2-H26,Tentacruel,Rare Holo,Aquapolis,E-Card,86.40,,2003/01/15,[73],Hajime Kusajima,https://images.pokemontcg.io/ecard2/H26_hires.png,Not Referenced
sm3-20,Charizard-GX,Rare Holo GX,Burning Shadows,Sun & Moon,11.63,,2017/08/05,[6],5ban Graphics,https://images.pokemontcg.io/sm3/20_hires.png,#4
hgss2-21,Poliwrath,Rare,HS—Unleashed,HeartGold & SoulSilver,,5.50,2010/05/12,[62],Naoyo Kimura,https://images.pokemontcg.io/hgss2/21_hires.png,Not Referenced
ex2-15,Arcanine,Rare,Sandstorm,EX,,30.22,2003/09/18,[59],Hajime Kusajima,https://images.pokemontcg.io/ex2/15_hires.png,#48
ex3-23,Bagon,Uncommon,Dragon,EX,,5.77,2003/11/24,[371],Mitsuhiro Arita,https://images.pokemontcg.io/ex3/23_hires.png,Not Referenced
ex13-21,Latias δ,Rare,Holon Phantoms,EX,,21.27,2006/05/01,[380],Mitsuhiro Arita,https://images.pokemontcg.io/ex13/21_hires.png,#99
hsp-HGSS13,Smoochum,Promo,HGSS Black Star Promos,HeartGold & SoulSilver,14.99,,2010/02/10,[238],Midori Harada,https://images.pokemontcg.io/hsp/HGSS13_hires.png,Not Referenced
ecard2-H27,Togetic,Rare Holo,Aquapolis,E-Card,96.00,,2003/01/15,[176],Kagemaru Himeno,https://images.pokemontcg.io/ecard2/H27_hires.png,Not Referenced
ex8-23,Sableye,Rare,Deoxys,EX,,29.30,2005/02/01,[302],Aya Kusube,https://images.pokemontcg.io/ex8/23_hires.png,#207
ex6-18,Arcanine,Rare,FireRed & LeafGreen,EX,,22.20,2004/09/01,[59],Ken Sugimori,https://images.pokemontcg.io/ex6/18_hires.png,#48
ex7-21,Delibird,Rare,Team Rocket Returns,EX,,27.67,2004/11/01,[225],Yuka Morii,https://images.pokemontcg.io/ex7/21_hires.png,Not Referenced
ex2-13,Solrock,Rare Holo,Sandstorm,EX,21.06,7.87,2003/09/18,[338],Hajime Kusajima,https://images.pokemontcg.io/ex2/13_hires.png,Not Referenced
ex6-16,Tauros,Rare Holo,FireRed & LeafGreen,EX,10.12,10.24,2004/09/01,[128],Masakazu Fukuda,https://images.pokemontcg.io/ex6/16_hires.png,Not Referenced
dp5-12,Phione,Rare Holo,Majestic Dawn,Diamond & Pearl,6.39,2.69,2008/05/01,[489],Daisuke Ito,https://images.pokemontcg.io/dp5/12_hires.png,Not Referenced
ecard3-H18,Magneton,Rare Holo,Skyridge,E-Card,189.48,,2003/05/12,[82],Hajime Kusajima,https://images.pokemontcg.io/ecard3/H18_hires.png,Not Referenced
bw5-17,Blaziken,Rare Holo,Dark Explorers,Black & White,4.00,7.32,2012/05/09,[257],TOKIYA,https://images.pokemontcg.io/bw5/17_hires.png,#29
ex11-22,Holon's Magneton,Rare,Delta Species,EX,,16.26,2005/10/31,[82],Katsura Tabata,https://images.pokemontcg.io/ex11/22_hires.png,Not Referenced
pl2-18,Espeon E4,Rare,Rising Rivals,Platinum,,13.00,2009/05/16,[196],Mitsuhiro Arita,https://images.pokemontcg.io/pl2/18_hires.png,#46
ex5-15,Walrein,Rare Holo,Hidden Legends,EX,6.82,7.98,2004/06/01,[365],Atsuko Nishida,https://images.pokemontcg.io/ex5/15_hires.png,Not Referenced
ex4-23,Team Magma's Zangoose,Rare,Team Magma vs Team Aqua,EX,,10.08,2004/03/01,[335],Zu-Ka,https://images.pokemontcg.io/ex4/23_hires.png,Not Referenced
sm12-22,Charizard & Braixen-GX,Rare Holo GX,Cosmic Eclipse,Sun & Moon,9.98,,2019/11/01,"[6, 654]",Mitsuhiro Arita,https://images.pokemontcg.io/sm12/22_hires.png,#4
ex9-23,Camerupt,Uncommon,Emerald,EX,,8.22,2005/05/01,[323],Masakazu Fukuda,https://images.pokemontcg.io/ex9/23_hires.png,Not Referenced
ex13-20,Blaziken,Rare,Holon Phantoms,EX,,17.57,2006/05/01,[257],Hiromichi Sugiyama,https://images.pokemontcg.io/ex13/20_hires.png,#29
ex12-25,Solrock,Rare,Legend Maker,EX,,9.00,2006/02/01,[338],Hisao Nakamura,https://images.pokemontcg.io/ex12/25_hires.png,Not Referenced
ex3-22,Vibrava,Rare,Dragon,EX,,5.16,2003/11/24,[329],Kagemaru Himeno,https://images.pokemontcg.io/ex3/22_hires.png,Not Referenced
ex9-24,Claydol,Uncommon,Emerald,EX,,8.44,2005/05/01,[344],Yuka Morii,https://images.pokemontcg.io/ex9/24_hires.png,Not Referenced
ex7-23,Ledian,Rare,Team Rocket Returns,EX,,15.47,2004/11/01,[166],Kagemaru Himeno,https://images.pokemontcg.io/ex7/23_hires.png,Not Referenced
dp2-16,Typhlosion,Rare Holo,Mysterious Treasures,Diamond & Pearl,16.21,12.51,2007/08/01,[157],Kazuyuki Kano,https://images.pokemontcg.io/dp2/16_hires.png,#35
bw11-26,Pignite,Uncommon,Legendary Treasures,Black & White,,17.52,2013/11/06,[499],Kanako Eo,https://images.pokemontcg.io/bw11/26_hires.png,Not Referenced
ex9-25,Combusken,Uncommon,Emerald,EX,,9.98,2005/05/01,[256],Midori Harada,https://images.pokemontcg.io/ex9/25_hires.png,Not Referenced
ex11-24,Mightyena δ,Rare,Delta Species,EX,,14.25,2005/10/31,[262],Hajime Kusajima,https://images.pokemontcg.io/ex11/24_hires.png,#238
dp2-17,Tyranitar,Rare Holo,Mysterious Treasures,Diamond & Pearl,13.86,13.26,2007/08/01,[248],Masakazu Fukuda,https://images.pokemontcg.io/dp2/17_hires.png,#12
ex10-21,Cleffa,Rare,Unseen Forces,EX,,13.28,2005/08/01,[173],Yuka Morii,https://images.pokemontcg.io/ex10/21_hires.png,Not Referenced
dp4-18,Houndoom,Rare,Great Encounters,Diamond & Pearl,,8.41,2008/02/01,[229],Ken Sugimori,https://images.pokemontcg.io/dp4/18_hires.png,#120
ex14-19,Grovyle δ,Rare,Crystal Guardians,EX,,12.22,2006/08/01,[253],Masakazu Fukuda,https://images.pokemontcg.io/ex14/19_hires.png,#181
dp2-15,Raichu,Rare Holo,Mysterious Treasures,Diamond & Pearl,9.12,9.00,2007/08/01,[26],Daisuke Ito,https://images.pokemontcg.io/dp2/15_hires.png,#165
ex12-24,Pinsir,Rare,Legend Maker,EX,,7.19,2006/02/01,[127],Mitsuhiro Arita,https://images.pokemontcg.io/ex12/24_hires.png,#166
col1-23,Ampharos,Rare,Call of Legends,HeartGold & SoulSilver,,5.74,2011/02/09,[181],Masakazu Fukuda,https://images.pokemontcg.io/col1/23_hires.png,#41
ex2-14,Zangoose,Rare Holo,Sandstorm,EX,19.55,14.96,2003/09/18,[335],Kagemaru Himeno,https://images.pokemontcg.io/ex2/14_hires.png,Not Referenced
ex11-23,Hypno,Rare,Delta Species,EX,,8.59,2005/10/31,[97],Midori Harada,https://images.pokemontcg.io/ex11/23_hires.png,Not Referenced
ex15-12,Typhlosion δ,Rare Holo,Dragon Frontiers,EX,20.41,59.67,2006/11/01,[157],Hisao Nakamura,https://images.pokemontcg.io/ex15/12_hires.png,#35
ex8-22,Rayquaza,Rare,Deoxys,EX,,77.77,2005/02/01,[384],Hiromichi Sugiyama,https://images.pokemontcg.io/ex8/22_hires.png,#8
base6-21,Butterfree,Rare,Legendary Collection,Other,,54.98,2002/05/24,[12],Kagemaru Himeno,https://images.pokemontcg.io/base6/21_hires.png,Not Referenced
ex10-22,Electabuzz,Rare,Unseen Forces,EX,,15.04,2005/08/01,[125],Mitsuhiro Arita,https://images.pokemontcg.io/ex10/22_hires.png,Not Referenced
ex7-24,Magby,Rare,Team Rocket Returns,EX,,24.99,2004/11/01,[240],Yukiko Baba,https://images.pokemontcg.io/ex7/24_hires.png,Not Referenced
dpp-DP24,Darkrai,Promo,DP Black Star Promos,Diamond & Pearl,10.71,,2007/05/01,[491],Kouki Saitou,https://images.pokemontcg.io/dpp/DP24_hires.png,#44
ex12-26,Spinda,Rare,Legend Maker,EX,,7.39,2006/02/01,[327],Motofumi Fujiwara,https://images.pokemontcg.io/ex12/26_hires.png,Not Referenced
ecard3-H20,Moltres,Rare Holo,Skyridge,E-Card,100.00,,2003/05/12,[146],Kouki Saitou,https://images.pokemontcg.io/ecard3/H20_hires.png,Not Referenced
ex7-25,Misdreavus,Rare,Team Rocket Returns,EX,,22.62,2004/11/01,[200],Aya Kusube,https://images.pokemontcg.io/ex7/25_hires.png,#222
dp6-16,Spiritomb,Rare Holo,Legends Awakened,Diamond & Pearl,6.06,8.97,2008/08/01,[442],Ryo Ueda,https://images.pokemontcg.io/dp6/16_hires.png,Not Referenced
hsp-HGSS14,Lapras,Promo,HGSS Black Star Promos,HeartGold & SoulSilver,11.36,,2010/02/10,[131],Masakazu Fukuda,https://images.pokemontcg.io/hsp/HGSS14_hires.png,#66
ecard3-H21,Nidoqueen,Rare Holo,Skyridge,E-Card,102.60,,2003/05/12,[31],Mitsuhiro Arita,https://images.pokemontcg.io/ecard3/H21_hires.png,Not Referenced
dp2-18,Uxie,Rare Holo,Mysterious Treasures,Diamond & Pearl,7.86,3.11,2007/08/01,[480],Ryo Ueda,https://images.pokemontcg.io/dp2/18_hires.png,Not Referenced
hgss1-28,Pichu,Rare,HeartGold & SoulSilver,HeartGold & SoulSilver,,10.08,2010/02/10,[172],match,https://images.pokemontcg.io/hgss1/28_hires.png,#114
xy8-22,M Houndoom-EX,Rare Holo EX,BREAKthrough,XY,7.22,,2015/11/04,[229],5ban Graphics,https://images.pokemontcg.io/xy8/22_hires.png,#120
np-16,Treecko,Promo,Nintendo Black Star Promos,NP,6.71,,2003/10/01,[252],Kagemaru Himeno,https://images.pokemontcg.io/np/16_hires.png,#202
ex7-26,Quagsire,Rare,Team Rocket Returns,EX,,35.49,2004/11/01,[195],Miki Tanaka,https://images.pokemontcg.io/ex7/26_hires.png,#141
ecard3-H22,Piloswine,Rare Holo,Skyridge,E-Card,161.84,,2003/05/12,[221],Yuka Morii,https://images.pokemontcg.io/ecard3/H22_hires.png,Not Referenced
ex13-23,Mawile,Rare,Holon Phantoms,EX,,7.96,2006/05/01,[303],Mitsuhiro Arita,https://images.pokemontcg.io/ex13/23_hires.png,#116
ecard2-H28,Tyranitar,Rare Holo,Aquapolis,E-Card,242.09,,2003/01/15,[248],Naoyo Kimura,https://images.pokemontcg.io/ecard2/H28_hires.png,#12
bw11-28,Reshiram,Rare Holo,Legendary Treasures,Black & White,4.73,7.13,2013/11/06,[643],Aya Kusube,https://images.pokemontcg.io/bw11/28_hires.png,#87
swsh3-20,Charizard VMAX,Rare Holo VMAX,Darkness Ablaze,Sword & Shield,32.22,,2020/08/14,[6],aky CG Works,https://images.pokemontcg.io/swsh3/20_hires.png,#4
hsp-HGSS16,Plusle,Promo,HGSS Black Star Promos,HeartGold & SoulSilver,10.02,,2010/02/10,[311],Kouki Saitou,https://images.pokemontcg.io/hsp/HGSS16_hires.png,Not Referenced
ecard3-H23,Politoed,Rare Holo,Skyridge,E-Card,40.99,,2003/05/12,[186],Atsuko Nishida,https://images.pokemontcg.io/ecard3/H23_hires.png,Not Referenced
base6-24,Golem,Rare,Legendary Collection,Other,,54.05,2002/05/24,[76],Kagemaru Himeno,https://images.pokemontcg.io/base6/24_hires.png,Not Referenced
ex15-15,Dewgong δ,Rare,Dragon Frontiers,EX,,6.27,2006/11/01,[87],Atsuko Nishida,https://images.pokemontcg.io/ex15/15_hires.png,Not Referenced
ex11-27,Sandslash δ,Rare,Delta Species,EX,,17.51,2005/10/31,[28],Mitsuhiro Arita,https://images.pokemontcg.io/ex11/27_hires.png,Not Referenced
ecard3-H24,Poliwrath,Rare Holo,Skyridge,E-Card,145.66,,2003/05/12,[62],Naoyo Kimura,https://images.pokemontcg.io/ecard3/H24_hires.png,Not Referenced
ex6-22,Dugtrio,Rare,FireRed & LeafGreen,EX,,6.80,2004/09/01,[51],Hajime Kusajima,https://images.pokemontcg.io/ex6/22_hires.png,Not Referenced
pl1-27,Giratina,Rare,Platinum,Platinum,,9.24,2009/02/11,[487],Mitsuhiro Arita,https://images.pokemontcg.io/pl1/27_hires.png,#77
xy7-28,M Ampharos-EX,Rare Holo EX,Ancient Origins,XY,6.99,,2015/08/12,[181],5ban Graphics,https://images.pokemontcg.io/xy7/28_hires.png,#41
ex13-22,Latios δ,Rare,Holon Phantoms,EX,,19.89,2006/05/01,[381],Masakazu Fukuda,https://images.pokemontcg.io/ex13/22_hires.png,#149
ex6-19,Chansey,Rare,FireRed & LeafGreen,EX,,11.26,2004/09/01,[113],Miki Tanaka,https://images.pokemontcg.io/ex6/19_hires.png,Not Referenced
ex8-24,Seaking,Rare,Deoxys,EX,,6.99,2005/02/01,[119],Atsuko Nishida,https://images.pokemontcg.io/ex8/24_hires.png,Not Referenced
pl4-25,Pichu,Rare,Arceus,Platinum,,5.93,2009/11/04,[172],Kanako Eo,https://images.pokemontcg.io/pl4/25_hires.png,#114
ex2-16,Espeon,Rare,Sandstorm,EX,,50.07,2003/09/18,[196],Mitsuhiro Arita,https://images.pokemontcg.io/ex2/16_hires.png,#46
ecard1-16,Machamp,Rare Holo,Expedition Base Set,E-Card,69.90,30.00,2002/09/15,[68],Shin-ichi Yoshida,https://images.pokemontcg.io/ecard1/16_hires.png,Not Referenced
ex5-18,Gorebyss,Rare,Hidden Legends,EX,,5.43,2004/06/01,[368],Kagemaru Himeno,https://images.pokemontcg.io/ex5/18_hires.png,Not Referenced
sm10-20,Reshiram & Charizard-GX,Rare Holo GX,Unbroken Bonds,Sun & Moon,19.13,,2019/05/03,"[6, 643]",Mitsuhiro Arita,https://images.pokemontcg.io/sm10/20_hires.png,#4
ex6-20,Cloyster,Rare,FireRed & LeafGreen,EX,,11.99,2004/09/01,[91],Aya Kusube,https://images.pokemontcg.io/ex6/20_hires.png,Not Referenced
ex8-27,Tropius,Rare,Deoxys,EX,,9.99,2005/02/01,[357],Miki Tanaka,https://images.pokemontcg.io/ex8/27_hires.png,Not Referenced
dp7-18,Gengar,Rare,Stormfront,Diamond & Pearl,,35.58,2008/11/01,[94],Hajime Kusajima,https://images.pokemontcg.io/dp7/18_hires.png,#10
dp5-19,Flareon,Rare,Majestic Dawn,Diamond & Pearl,,9.93,2008/05/01,[136],Mitsuhiro Arita,https://images.pokemontcg.io/dp5/19_hires.png,Not Referenced
np-18,Mudkip,Promo,Nintendo Black Star Promos,NP,9.99,,2003/10/01,[258],Kagemaru Himeno,https://images.pokemontcg.io/np/18_hires.png,#31
dp6-15,Regigigas,Rare Holo,Legends Awakened,Diamond & Pearl,7.55,4.12,2008/08/01,[486],Ryo Ueda,https://images.pokemontcg.io/dp6/15_hires.png,Not Referenced
ex9-26,Dodrio,Uncommon,Emerald,EX,,11.22,2005/05/01,[85],Hajime Kusajima,https://images.pokemontcg.io/ex9/26_hires.png,Not Referenced
hsp-HGSS15,Shuckle,Promo,HGSS Black Star Promos,HeartGold & SoulSilver,6.20,,2010/02/10,[213],match,https://images.pokemontcg.io/hsp/HGSS15_hires.png,#223
ex10-25,Hitmonlee,Rare,Unseen Forces,EX,,11.99,2005/08/01,[106],Hisao Nakamura,https://images.pokemontcg.io/ex10/25_hires.png,Not Referenced
ex12-27,Torkoal,Rare,Legend Maker,EX,,7.50,2006/02/01,[324],Atsuko Nishida,https://images.pokemontcg.io/ex12/27_hires.png,Not Referenced
ex8-25,Shiftry,Rare,Deoxys,EX,,6.26,2005/02/01,[275],Kouki Saitou,https://images.pokemontcg.io/ex8/25_hires.png,Not Referenced
ex14-22,Kingler δ,Rare,Crystal Guardians,EX,,17.49,2006/08/01,[99],Masakazu Fukuda,https://images.pokemontcg.io/ex14/22_hires.png,Not Referenced
xyp-XY17,Charizard-EX,Promo,XY Black Star Promos,XY,15.38,,2013/10/12,[6],5ban Graphics,https://images.pokemontcg.io/xyp/XY17_hires.png,#4
